,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Distr,114,43.632359,-79.71978,0,,,114,241.925,205.884,188.297,135.58,154.909,149.276,105.62,91.581,78.943,81.725,126.774,68.232,118.327,87.967,50.175,102.234,55.892,105.724,51.254,119.858,222.088,54.875,44.708,100.62,65.014,187.752,51.462,43.596,44.553,44.223,64.14,39.38,70.44,34.875,343.365,132.644,86.976,36.752,23.27,64.439,33.305,37.187,28.05,19.577,21.512,34.523,16.151,65.346,23.504,13.033,501.059,20.614,89.578,4.25,16.121,11.964,34.076,98.821,27.264,9.861,57.052,21.26,68.498,17.049,9.92,37.212,47.576,12.074,58.927,88.588,18.22,145.503,61.278,55.288,132.527,226.153,68.712,52.543,56.501,119.289,92.301,63.447,123.559,60.243,74.875,70.222,79.312,77.866,84.024,82.842,144.196,109.691,161.311,397.504,113.244,129.807,154.043,384.69,171.438,156.585,161.501,156,163.578,686.561,197.865,196.998,190.097,266.19,255.345,830.234,276.462,267.84,686.933,696.958,0,241.407,205.163,224.024,189.231,136.427,128.438,149.232,62.504,114.624,113.006,53.9,223.925,51.197,187.545,47.814,41.702,49.88,44.839,37.675,33.149,130.813,346.905,34.48,31.743,21.277,16.057,70.731,71.247,90.241,25.206,33.756,16.22,98.808,153.299,9.466,46.536,68.489,225.807,52.721,119.652,88.408,136.792,60.224,74.963,77.646,109.61,114.884,125.061,161.229,384.558,155.666,162.774,190.617,189.929,263.376,293.765,686.745,695.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Charge,115,44.2621513,-76.9631417,0,,,115,0.849,37.292,59.28,107.71,144.774,152.558,151.121,166.004,164.205,179.511,356.667,176.322,348.22,206.002,192.165,332.127,201.466,335.617,196.699,349.75,347.171,201.043,198.201,330.512,211.893,312.835,208.061,200.461,206.838,221.164,234.451,218.31,240.751,223.677,411.832,275.447,257.287,222.83,227.593,247.682,219.161,228.976,231.042,223.243,234.89,237.915,235.682,268.737,240.46,240.985,569.525,248.566,292.969,241.833,245.372,247.929,253.715,302.213,257.156,252.492,286.944,263.89,298.391,259.68,247.445,267.105,273.722,263.309,288.819,291.979,269.831,348.894,291.171,285.181,335.918,429.544,298.605,295.174,294.025,355.856,322.193,300.97,353.451,297.766,312.399,307.745,316.836,315.39,321.548,320.365,381.719,347.215,403.942,600.895,350.768,367.33,396.674,588.081,408.962,394.108,399.024,393.524,401.101,778.591,440.496,434.522,427.62,503.713,492.868,898.701,513.986,505.363,890.324,900.349,240.8,0,38.079,75.501,53.81,108.557,114.959,152.514,180.654,344.517,342.899,187.66,300.867,207.795,312.628,212.686,208.289,205.333,213.817,221.154,224.583,273.439,415.371,237.871,235.134,234.655,237.734,300.624,301.139,293.632,254.635,258.281,245.472,302.2,356.69,246.991,276.429,298.382,429.198,295.351,356.22,318.3,366.685,297.748,312.487,315.17,347.134,357.515,362.584,403.86,587.949,393.19,400.297,433.248,427.453,500.899,531.288,890.136,898.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,116,44.187864,-77.398877,0,,,116,38.133,1.706,24.316,72.746,109.81,117.594,116.157,131.04,129.241,144.547,321.703,141.358,313.256,171.038,157.201,297.163,166.502,300.653,161.735,314.786,312.207,166.079,163.237,295.548,176.929,277.871,173.097,165.497,171.874,186.2,199.487,183.346,205.787,188.713,433.484,240.483,222.323,187.866,192.629,212.718,184.197,194.012,196.078,188.279,199.926,202.95,200.718,233.773,205.496,206.021,591.177,213.602,258.005,206.869,210.408,212.965,218.751,267.249,222.192,217.528,251.98,228.926,263.427,224.716,212.481,232.141,238.758,228.345,253.855,257.015,234.867,313.93,256.207,250.217,300.954,394.58,263.641,260.21,259.061,320.892,287.229,266.006,318.487,262.802,277.435,272.781,281.872,280.426,286.584,285.401,346.755,312.251,368.978,565.931,315.804,332.366,361.71,553.117,373.998,359.144,364.06,358.56,366.137,854.988,405.532,399.558,392.656,468.749,457.904,920.353,479.022,470.399,855.36,865.385,205.836,37.615,0,39.915,18.846,73.593,79.995,117.55,145.69,309.553,307.935,152.696,265.281,172.831,277.664,177.722,173.325,170.369,178.853,186.19,189.619,238.475,437.024,202.907,200.17,199.691,202.77,265.66,266.175,258.668,219.671,223.317,210.507,267.235,321.726,212.027,241.465,263.418,394.234,260.387,321.256,283.336,331.721,262.784,277.523,280.206,312.17,322.551,327.62,368.896,552.985,358.226,365.333,398.284,392.489,465.935,496.324,855.172,863.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,117,44.5128136,-77.4810279,0,,,117,76.785,38.85,59.322,107.752,73.992,79.48,137.312,137.418,150.396,148.74,345.799,161.647,337.352,171.736,178.356,321.259,169.038,324.749,182.89,338.882,227.923,175.607,184.392,319.644,179.465,218.886,175.633,186.652,193.029,188.736,202.023,185.882,208.323,216.358,349.883,206.602,224.859,190.402,212.552,215.254,198.385,196.548,198.614,208.263,224.195,205.486,224.986,236.309,208.032,228.49,507.576,236.071,260.541,228.443,212.944,235.433,221.286,269.784,246.288,220.064,276.076,231.462,287.522,227.252,230.186,256.236,266.601,230.881,277.951,259.551,237.403,248.628,280.302,274.313,303.49,297.498,287.737,262.746,275.693,323.428,311.325,282.638,342.583,279.434,294.066,289.413,298.504,297.058,303.216,302.033,363.387,328.883,371.513,468.848,332.436,348.998,364.246,456.034,390.63,375.776,380.692,375.191,382.769,716.641,408.068,416.189,409.288,485.381,474.536,836.751,495.654,487.031,758.278,768.303,223.994,76.267,39.598,0,53.852,108.599,115.001,75.636,166.845,333.648,332.03,173.851,225.731,175.367,218.679,180.258,194.852,189.865,181.388,207.717,211.146,204.594,353.422,205.443,202.706,223.96,227.039,289.755,290.271,261.204,244.23,252.781,213.043,269.771,241.15,233.601,265.561,287.514,297.151,262.923,323.792,307.432,355.817,279.416,294.155,296.837,328.802,325.087,344.252,371.431,455.902,374.858,381.965,400.82,409.121,482.567,512.956,758.09,766.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,118,44.1303372,-77.5799205,0,,,118,54.094,18.052,6.27,56.001,93.065,100.848,99.411,114.294,112.496,127.802,304.957,124.613,296.511,154.293,140.456,280.417,149.756,283.907,144.989,298.041,295.461,149.333,146.491,278.803,160.183,261.125,156.351,148.752,155.128,169.455,182.742,166.601,189.042,171.967,416.739,223.737,205.577,171.12,175.883,195.973,167.451,177.267,179.332,171.533,183.18,186.205,183.972,217.027,188.751,189.275,574.432,196.857,241.259,190.124,193.662,196.219,202.005,250.503,205.447,200.783,235.235,212.181,246.681,207.971,195.735,215.395,222.013,211.6,237.11,240.269,218.121,297.185,239.461,233.472,284.209,377.835,246.896,243.465,242.316,304.147,270.484,249.261,301.742,246.057,260.689,256.036,265.126,263.681,269.838,268.656,330.01,295.505,352.232,549.185,299.059,315.621,344.964,536.371,357.252,342.399,347.315,341.814,349.392,838.242,388.786,382.812,375.911,452.004,441.159,903.608,462.277,453.654,838.615,848.64,189.091,53.576,17.332,56.262,0,56.847,63.25,100.804,128.945,292.807,291.189,135.95,297.298,156.086,260.919,160.976,156.579,153.623,162.107,169.444,172.873,221.73,420.278,186.162,183.425,182.946,186.024,248.914,249.43,241.922,202.926,206.572,193.762,250.49,304.981,195.281,224.719,246.673,377.488,243.642,304.51,266.591,314.975,246.038,260.777,263.46,295.425,305.806,310.875,352.15,536.239,341.481,348.588,381.538,375.743,449.19,479.579,838.427,847.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,119,43.9698915,-78.2029576,0,,,119,108.89,72.849,55.262,1.063,56.298,46.887,46.771,61.654,59.856,75.162,252.317,71.973,243.871,101.653,87.816,227.777,97.116,231.267,92.349,245.401,242.821,96.693,93.851,226.163,107.543,208.485,103.711,96.112,102.488,116.815,130.102,113.961,136.402,119.327,364.099,171.097,152.937,118.48,123.243,143.333,114.811,124.627,126.692,118.893,130.54,133.565,131.332,164.387,136.111,136.635,521.792,144.217,188.619,137.484,141.022,143.579,149.365,197.863,152.807,148.143,182.595,159.541,194.041,155.331,143.095,162.755,169.373,158.96,184.47,187.629,165.481,244.545,186.821,180.832,231.569,325.195,194.256,190.825,189.676,251.507,217.844,196.621,249.102,193.417,208.049,203.396,212.486,211.041,217.198,216.016,277.37,242.865,299.592,496.545,246.419,262.981,292.324,483.731,304.612,289.759,294.675,289.174,296.752,785.602,336.146,330.172,323.271,399.364,388.519,850.968,409.637,401.014,785.975,796,136.451,108.372,72.128,111.058,56.197,0,8.5,46.843,76.305,240.167,238.549,83.31,244.658,103.446,208.279,108.336,103.939,100.983,109.467,116.804,120.233,169.09,367.638,133.522,130.785,130.306,133.384,196.274,196.79,189.282,150.286,153.932,141.122,197.85,252.341,142.641,172.079,194.033,324.848,191.002,251.87,213.951,262.335,193.398,208.137,210.82,242.785,253.166,258.235,299.51,483.599,288.841,295.948,328.898,323.103,396.55,426.939,785.787,794.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,120,43.9716406,-78.2853771,0,,,120,116.158,80.117,62.53,9.325,47.738,38.327,37.835,52.718,50.92,66.226,243.382,63.037,234.935,92.717,78.88,218.842,88.181,222.331,83.413,236.465,233.886,87.758,84.916,217.227,98.608,199.55,94.776,87.176,93.553,107.879,121.166,105.025,127.466,110.391,355.163,162.161,144.001,109.545,114.307,134.397,105.876,115.691,117.756,109.958,121.605,124.629,122.396,155.452,127.175,127.7,512.856,135.281,179.684,128.548,132.087,134.644,140.429,188.927,143.871,139.207,173.659,150.605,185.105,146.395,134.16,153.819,160.437,150.024,175.534,178.694,156.545,235.609,177.885,171.896,222.633,316.259,185.32,181.889,180.74,242.571,208.908,187.685,240.166,184.481,199.113,194.46,203.55,202.105,208.263,207.08,268.434,233.929,290.656,487.61,237.483,254.045,283.389,474.796,295.677,280.823,285.739,280.238,287.816,776.667,327.21,321.236,314.335,390.428,379.583,842.032,400.701,392.078,777.039,787.064,127.515,115.64,79.396,118.326,63.464,8.526,0,38.283,67.369,231.231,229.613,74.374,235.722,94.51,199.343,99.401,95.004,92.047,100.531,107.869,111.297,160.154,358.702,124.586,121.849,121.37,124.448,187.338,187.854,180.347,141.35,144.996,132.186,188.914,243.405,133.706,163.144,185.097,315.912,182.066,242.935,205.015,253.399,184.463,199.201,201.884,233.849,244.23,249.299,290.574,474.663,279.905,287.012,319.962,314.168,387.614,418.003,776.851,785.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,121,44.2831597,-78.3330165,0,,,121,153.923,117.882,100.295,47.579,5.638,1.334,62.497,62.603,75.582,73.926,270.984,86.833,262.538,96.921,103.542,246.444,94.223,249.934,108.075,264.068,198.705,100.793,109.577,244.83,104.65,164.369,100.818,111.837,118.214,113.922,127.209,111.068,133.509,141.544,319.982,129.766,150.044,115.587,137.738,140.44,123.57,121.733,123.799,133.449,149.38,130.672,150.172,161.494,133.218,153.675,477.675,161.256,185.726,153.629,138.129,160.619,146.472,194.97,171.474,145.249,201.262,156.648,212.708,152.438,155.371,181.422,191.786,156.066,203.137,184.736,162.588,171.792,205.488,199.498,228.676,237.168,212.923,187.932,200.879,248.614,236.511,207.824,267.769,204.62,219.252,214.599,223.689,222.243,228.401,227.219,288.573,254.068,296.699,408.518,257.621,274.184,289.431,395.704,315.815,300.962,305.878,300.377,307.955,686.741,333.253,341.375,334.474,410.567,399.722,806.851,420.84,412.217,697.948,707.973,149.179,153.405,117.161,75.499,101.23,47.066,38.515,0,92.031,258.834,257.216,99.036,200.541,100.553,164.162,105.443,120.038,115.051,106.574,132.903,136.331,127.759,323.522,130.629,127.892,149.146,152.224,214.941,215.457,186.389,169.416,177.966,138.229,194.957,164.314,158.786,190.746,212.7,236.821,188.109,248.977,232.618,281.002,204.601,219.34,222.023,253.988,250.272,269.438,296.617,395.572,300.043,307.151,326.005,334.306,407.753,438.142,697.76,706.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,122,43.846138,-79.072896,0,,,122,181.51,145.468,127.881,75.165,97.222,91.589,35.864,28.263,18.527,17.489,177.7,5.997,169.253,30.158,13.188,153.16,20.738,156.65,17.721,170.783,190.447,22.066,19.224,151.545,31.165,156.111,27.333,21.494,27.871,40.999,54.286,37.582,60.586,44.71,311.724,155.307,77.122,42.102,48.626,67.517,40.194,48.248,50.314,44.276,55.923,57.186,56.715,88.009,59.732,62.018,469.417,69.599,112.241,62.866,64.644,68.962,72.986,121.484,78.189,71.764,107.978,83.162,119.424,78.952,68.478,88.138,94.755,82.581,109.852,111.251,76.776,168.166,112.204,106.214,155.19,248.816,119.638,114.446,115.058,175.128,143.226,122.003,174.484,118.799,133.432,128.778,137.869,136.423,142.581,141.398,202.752,168.248,223.213,420.167,171.801,188.363,215.946,407.353,229.995,215.141,220.057,214.557,222.134,709.224,259.767,255.555,248.653,324.746,313.901,798.593,335.019,326.396,709.596,719.621,61.833,180.991,144.747,166.337,128.816,76.011,68.022,91.545,0,165.55,163.932,8.682,192.284,27.067,155.904,31.958,29.322,26.366,33.088,42.187,45.616,153.476,315.264,57.143,54.406,55.688,58.767,121.657,122.172,112.904,75.668,79.314,64.743,121.471,175.962,68.024,97.462,119.415,248.47,114.623,175.492,139.333,187.718,118.781,133.52,136.203,168.167,176.787,183.617,223.131,407.221,214.223,221.33,252.52,248.486,321.932,352.321,709.408,718.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,123,43.1044382,-79.1104595,0,,,123,344.565,308.523,290.937,238.22,264.727,259.094,198.919,201.399,181.582,191.543,14.457,170.872,5.862,197.785,152.815,14.032,165.71,14.064,153.894,20.154,331.906,164.693,147.348,21.431,174.832,297.57,161.28,146.236,139.583,154.041,173.958,149.198,180.258,122.535,453.183,242.462,196.794,146.57,120.089,174.257,143.123,147.005,137.868,122.217,109.654,144.341,108.766,175.164,133.322,105.062,610.877,99.184,199.396,106.341,125.939,98.534,143.894,208.639,94.778,119.679,58.979,131.078,71.024,126.867,104.222,78.287,70.216,114.929,64.196,198.406,98.116,255.321,74.111,81.696,242.345,335.971,85.206,162.361,119.152,229.107,108.795,126.097,107.266,122.893,139.853,132.872,141.963,140.517,146.675,145.492,180.404,145.899,271.129,507.322,175.895,192.457,219.911,494.508,207.647,192.793,197.709,192.208,209.834,796.379,267.051,233.206,252.747,302.398,291.553,940.052,312.671,304.048,796.751,853.841,113.845,344.047,307.803,333.842,291.871,239.067,231.077,259.05,165.144,0,2.6,156.54,333.743,161.014,297.363,157.632,144.342,142.419,154.657,125.335,120.809,240.631,456.723,144.298,141.561,109.054,106.039,44.847,44.765,200.059,95.561,86.717,126.038,208.626,263.117,105.896,69.176,71.015,335.625,162.539,229.47,104.902,108.454,122.875,137.614,140.297,145.819,182.97,161.269,271.047,494.376,191.875,229.477,277.679,252.58,299.584,329.973,796.563,853.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,124,43.1167446,-79.1241649,0,,,124,343.719,307.677,290.09,237.374,263.881,258.248,198.073,200.553,180.736,190.696,16.161,170.026,6.548,196.938,151.968,13.186,164.863,11.738,153.048,22.25,331.06,163.846,146.502,17.295,173.986,296.724,160.433,145.389,138.736,153.194,173.112,148.352,179.412,121.689,452.337,241.616,195.947,145.723,119.242,173.41,142.276,146.158,137.022,121.371,108.807,143.495,107.92,174.317,132.476,104.216,610.03,98.338,198.549,105.494,125.092,97.688,143.048,207.793,93.932,118.833,58.132,130.231,70.177,126.021,103.376,77.44,69.37,114.082,63.349,197.559,97.269,254.475,73.264,80.85,241.499,335.125,84.36,161.515,118.306,228.26,107.948,125.251,107.454,122.047,139.007,132.026,141.116,139.671,145.828,144.646,179.558,145.053,270.282,506.475,175.049,191.611,219.065,493.661,206.8,191.946,196.862,191.362,208.987,795.532,266.204,232.36,251.901,301.552,290.706,939.206,311.824,303.202,795.905,852.994,112.998,343.2,306.956,332.996,291.025,238.22,230.231,258.204,164.297,2.634,0,155.693,332.896,160.168,296.517,156.786,143.496,141.572,153.811,124.488,119.963,239.784,455.876,143.452,140.715,108.208,105.193,44,43.919,199.212,94.714,85.87,125.192,207.78,262.271,105.049,68.33,70.169,334.778,161.692,228.624,104.055,108.641,122.028,136.767,139.45,144.972,182.123,160.422,270.2,493.529,191.028,228.631,276.832,251.733,298.737,329.126,795.717,852.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,125,43.7989827,-79.147143,0,,,125,188.953,152.911,135.324,82.608,105.465,99.832,43.307,35.706,25.97,24.932,169.213,15.259,160.766,39.456,4.707,144.673,12.614,148.162,9.456,162.296,236.476,13.585,10.743,143.058,25.322,202.14,33.376,13.007,19.383,32.512,45.799,29.307,52.099,36.222,357.753,147.032,68.634,33.827,40.138,59.03,31.706,39.973,42.039,35.788,47.435,48.911,48.227,79.734,51.457,53.53,515.447,61.112,103.966,54.379,56.369,60.474,64.711,113.209,69.702,63.489,99.49,74.887,110.936,70.677,59.991,79.65,86.268,74.306,101.365,102.976,68.289,159.891,103.716,97.727,146.915,240.541,111.151,106.171,106.571,166.853,134.739,113.516,165.997,110.312,124.944,120.291,129.381,127.936,134.093,132.911,194.265,159.76,214.938,411.892,163.314,179.876,207.671,399.078,221.507,206.654,211.57,206.069,213.647,700.949,251.493,247.067,240.166,316.259,305.414,844.622,326.532,317.909,701.321,711.346,53.346,188.434,152.19,174.58,136.259,83.454,75.465,99.788,9.529,157.062,155.444,0,238.313,33.11,201.933,29.728,20.834,17.878,26.806,33.699,37.128,145.201,361.293,48.868,46.131,47.201,50.279,113.169,113.685,104.629,67.181,70.827,56.468,113.196,167.687,59.536,88.974,110.928,240.195,106.348,167.217,130.846,179.23,110.293,125.032,127.715,159.68,168.512,175.13,214.856,398.946,205.736,212.843,244.245,239.998,313.445,343.834,701.133,709.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,126,45.3335575,-79.2068093,0,,,126,302.09,264.154,295.424,242.708,196.449,199.218,196.485,181.908,183.749,176.083,344.887,187.543,336.44,161.307,233.128,320.347,226.83,323.836,234.208,337.97,3.156,225.813,227.662,318.732,184.43,37.252,222.4,226.549,229.731,201.726,189.257,210.318,183.633,215.704,125.116,93.429,161.16,207.69,211.898,180.03,204.243,194.038,197.568,207.609,219.277,190.602,220.069,164.064,207.12,227.577,282.809,235.159,134.191,227.531,212.032,234.521,197.833,127.53,245.376,219.152,275.164,230.55,286.61,226.34,229.274,255.324,265.688,229.969,277.039,163.526,236.49,135.454,279.39,273.401,144.33,74.61,286.825,211.874,274.781,168.545,310.413,281.726,341.671,278.522,250.283,288.501,297.591,296.146,302.304,301.121,362.475,327.97,227.372,249.879,331.524,276.803,235.903,233.147,389.717,374.864,379.78,374.279,381.857,491.874,278.386,415.277,335.948,484.469,473.624,611.985,494.742,486.119,535.39,545.415,223.081,301.571,264.902,225.669,296.358,243.554,235.565,199.78,195.555,332.736,331.118,236.854,0,222.135,37.045,218.752,225.805,220.818,215.777,238.67,230.915,94.427,128.655,191.332,192.753,219.043,222.121,288.843,289.359,135.287,243.318,242.668,212.131,127.517,106.774,232.689,264.649,286.602,74.264,212.051,168.908,306.52,354.904,278.503,293.242,295.925,327.89,236.131,343.34,227.216,233.015,373.946,381.053,307.641,335.781,481.655,512.044,535.202,544.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,127,43.867469,-79.2859006,0,,,127,209.042,173.001,155.414,102.697,107.796,102.163,58.507,44.468,46.059,34.612,173.595,39.467,165.149,40.854,14.613,149.055,8.778,152.545,17.341,166.679,220.848,6.521,12.811,147.441,11.674,186.512,0.413,10.982,26.575,16.533,29.82,13.679,36.12,44.155,342.125,131.404,52.655,18.198,40.349,43.051,26.181,24.344,26.41,36.06,51.991,33.283,52.783,64.105,35.829,56.286,499.818,63.867,88.337,56.24,40.74,63.23,49.083,97.581,74.085,47.861,103.873,59.259,115.319,55.049,57.982,84.033,94.397,58.678,105.748,87.347,65.199,144.263,108.099,102.109,131.287,224.913,115.534,90.543,103.49,151.225,139.122,110.435,170.38,107.231,121.863,117.21,126.3,124.855,131.012,129.83,191.184,156.679,199.31,396.263,160.233,176.795,192.042,383.449,218.426,203.573,208.489,202.988,210.566,685.32,235.864,243.986,237.085,313.178,302.333,828.994,323.451,314.828,685.693,695.718,51.79,208.524,172.28,176.911,156.348,103.544,95.555,102.119,27.715,161.445,159.827,23.898,222.684,0,186.305,3.254,22.649,17.662,9.185,35.514,38.942,129.572,345.665,33.24,30.503,51.757,54.835,117.552,118.068,89,72.027,80.577,40.84,97.568,152.059,61.397,93.357,115.311,224.566,90.72,151.588,135.229,183.613,107.212,121.951,124.634,156.599,152.884,172.049,199.228,383.317,202.655,209.762,228.616,236.917,310.364,340.753,685.505,694.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
